Board 6	2018-06-14 16:55:27

Channel 1
DAC		Mean		Sigma		Min		Max
16000	-4.958902e-03	2.875057e-08	-4.958942e-03	-4.958842e-03
19000	-5.890993e-03	2.645214e-08	-5.891039e-03	-5.890948e-03
22000	-6.822832e-03	1.806827e-08	-6.822859e-03	-6.822789e-03
25000	-7.754779e-03	2.208911e-08	-7.754819e-03	-7.754738e-03
28000	-8.686412e-03	2.417400e-08	-8.686448e-03	-8.686356e-03
31000	-9.618424e-03	1.969929e-08	-9.618460e-03	-9.618387e-03
34000	-1.055053e-02	1.641138e-08	-1.055056e-02	-1.055051e-02
37000	-1.148273e-02	2.940899e-08	-1.148278e-02	-1.148268e-02
40000	-1.241461e-02	1.586050e-08	-1.241464e-02	-1.241457e-02


Channel 4
DAC		Mean		Sigma		Min		Max
0	 1.471783e-05	3.108414e-08	 1.464898e-05	 1.476135e-05
25	 6.955466e-06	2.570358e-08	 6.916523e-06	 7.029128e-06
50	-6.070497e-07	1.520851e-08	-6.474615e-07	-5.880353e-07
75	-8.329604e-06	2.381602e-08	-8.370414e-06	-8.291163e-06
100	-1.622109e-05	1.919339e-08	-1.625490e-05	-1.618833e-05
200	-4.719949e-05	2.178559e-08	-4.724380e-05	-4.716081e-05
300	-7.789620e-05	2.235925e-08	-7.793058e-05	-7.786156e-05
400	-1.091721e-04	1.955928e-08	-1.092105e-04	-1.091384e-04
500	-1.402919e-04	1.758437e-08	-1.403252e-04	-1.402528e-04
600	-1.713910e-04	2.688604e-08	-1.714467e-04	-1.713462e-04
700	-2.020337e-04	4.094210e-08	-2.020714e-04	-2.019150e-04
800	-2.330898e-04	1.069418e-07	-2.334852e-04	-2.330387e-04
900	-2.643758e-04	8.604591e-08	-2.646908e-04	-2.643319e-04
1000	-2.955124e-04	9.342812e-08	-2.958509e-04	-2.954439e-04
4000	-1.226917e-03	6.887264e-08	-1.227153e-03	-1.226858e-03
7000	-2.158377e-03	3.068087e-08	-2.158422e-03	-2.158322e-03
10000	-3.090534e-03	1.770047e-08	-3.090567e-03	-3.090499e-03
13000	-4.022444e-03	1.887314e-08	-4.022476e-03	-4.022398e-03
16000	-4.953883e-03	2.305838e-08	-4.953923e-03	-4.953833e-03
19000	-5.885774e-03	2.387802e-08	-5.885832e-03	-5.885738e-03
22000	-6.818205e-03	2.219850e-08	-6.818237e-03	-6.818167e-03
25000	-7.750851e-03	2.893088e-08	-7.750913e-03	-7.750810e-03
28000	-8.683219e-03	2.846753e-08	-8.683291e-03	-8.683167e-03
31000	-9.615452e-03	4.858322e-08	-9.615568e-03	-9.615374e-03
34000	-1.054702e-02	4.909854e-08	-1.054714e-02	-1.054696e-02
37000	-1.147933e-02	8.170407e-08	-1.147951e-02	-1.147925e-02
40000	-1.241205e-02	9.348559e-08	-1.241226e-02	-1.241196e-02


Channel 5
